position,count,lng,lat
徐汇区漕溪北路1200号,17,0,0
徐汇区宜山路829号,1,0,0
浦东新区南芦公路19弄,1,0,0
黄浦区瑞金二路33号,1,0,0
静安区永兴路595弄,16,0,0
闵行区莘浜路155号,4,0,0
闵行区龙吴路4221号,21,0,0
徐汇区华发路406弄,29,0,0
徐汇区宛平南路485弄,1,0,0
浦东新区祝桥镇邓一村,1,0,0
普陀区光新路256弄,2,0,0
宝山区大康路1079弄,4,0,0
普陀区宜君路80弄,16,0,0
普陀区石泉东路168弄,13,0,0
普陀区岚皋西路342弄,2,0,0
普陀区石泉东路240弄,1,0,0
宝山区宝林一村,6,0,0
宝山区沈巷杨家宅,1,0,0
奉贤区吴房村,4,0,0
宝山区聚丰园路188弄,16,0,0
嘉定区嘉唐公路169弄,3,0,0
闵行区普乐路333弄,15,0,0
闵行区虹梅南路1781弄,32,0,0
松江区泽悦路326弄,25,0,0
松江区九亭中心路503弄,1,0,0
松江区沪亭北路618弄,24,0,0
松江区沪松公路2517弄,19,0,0
浦东新区听达路325弄,2,0,0
宝山区淞兴西路268号,7,0,0
嘉定区曲江路100弄,21,0,0
嘉定区嘉绣路955弄,1,0,0
嘉定区红卫村,1,0,0
嘉定区海蓝路98弄,26,0,0
宝山区泗塘一村,31,0,0
嘉定区宝安公路3705弄,29,0,0
嘉定区龙湖郦城1509弄,1,0,0
普陀区交通西路48弄,7,0,0
徐汇区龙华西路20号,2,0,0
徐汇区柳州路460号,15,0,0
嘉定区裕民南路336弄,13,0,0
宝山区庆安一村,6,0,0
宝山区高跃路133弄,13,0,0
宝山区德都路399弄,10,0,0
宝山区宝钢十一村,6,0,0
宝山区长白山路633弄,4,0,0
嘉定区和静路1060号,1,0,0
嘉定区樱花街116弄,5,0,0
嘉定区沈徐路129弄,5,0,0
嘉定区宝翔路560弄,24,0,0
闵行区报春路399弄,13,0,0
嘉定区菊园新区棋盘路998弄,1,0,0
闵行区虹梅南路1578号,7,0,0
嘉定区宝安公路李家村,2,0,0
松江区沪亭南路751弄,30,0,0
松江区九新公路180弄,6,0,0
闵行区普联路150弄,1,0,0
闵行区紫星路1588号,3,0,0
闵行区浦江镇知新村,1,0,0
金山区恒康路258弄,1,0,0
闵行区繁安路59弄,16,0,0
闵行区江川路1552号,1,0,0
松江区同利路59号,11,0,0
宝山区友谊四村,1,0,0
虹口区虹湾路55弄,28,0,0
浦东新区浦三路12弄,25,0,0
徐汇区龙水南路336弄,12,0,0
浦东新区五莲路759弄,23,0,0
徐汇区宜山路670号,1,0,0
闵行区莲花南路425弄,1,0,0
闵行区陈南路386号,1,0,0
浦东新区花木路718弄,9,0,0
浦东新区台儿庄路579弄,12,0,0
静安区平型关路300弄,11,0,0
嘉定区宝乐路58弄,7,0,0
徐汇区梅陇三村,12,0,0
长宁区延安西路649弄,4,0,0
普陀区真南路1051弄,9,0,0
静安区沪太路1329弄,8,0,0
青浦区徐泾镇杨巷西区,1,0,0
嘉定区徐行和桥村,1,0,0
宝山区菊太路1399弄,11,0,0
松江区陆家圈路63弄,3,0,0
徐汇区华泾路880弄,22,0,0
闵行区华茂路1036号,1,0,0
松江区洞宁路655弄,16,0,0
松江区淀浦河路399弄,6,0,0
松江区南期昌路458弄,8,0,0
松江区方塔北路618号,3,0,0
松江区博安路32弄,5,0,0
松江区九亭镇庄家村,1,0,0
松江区沪亭北路338弄,16,0,0
宝山区友谊路1869弄,15,0,0
松江区涞坊路333弄,31,0,0
青浦区徐泾前明村,1,0,0
嘉定区康年路208弄,4,0,0
嘉定区城中路20号,4,0,0
青浦区赵巷和睦村,1,0,0
宝山区月浦六村,10,0,0
宝山区真华路999弄,6,0,0
宝山区鹤林路58弄,11,0,0
宝山区罗东路50弄,18,0,0
嘉定区沪宜公路3066弄,6,0,0
宝山区美丹路1033弄,9,0,0
徐汇区宜山路250弄,5,0,0
浦东新区长岛路85弄,26,0,0
松江区洞坤路168弄,3,0,0
闵行区罗秀路1377号,6,0,0
闵行区上中西路810弄,13,0,0
静安区塘沽路933号,10,0,0
虹口区邢家桥南路125号,1,0,0
浦东新区浦东大道2778弄,18,0,0
闵行区古美西路86弄,19,0,0
浦东新区棋杆村,12,0,0
松江区北松公路6700弄,14,0,0
松江区新庙三路916弄,2,0,0
闵行区普洱路88弄,9,0,0
嘉定区崇文路1855号,3,0,0
嘉定区玉桂路74弄,5,0,0
嘉定区宝安公路2948号,3,0,0
静安区宝昌路659弄,2,0,0
闵行区朱梅路266弄,22,0,0
黄浦区瞿溪路811弄,5,0,0
奉贤区百团路198弄,1,0,0
徐汇区虹漕路19弄,28,0,0
闵行区中春路6785号,18,0,0
松江区涞亭北路99弄,10,0,0
松江区长溇村吴家桥,3,0,0
徐汇区钦州北路885弄,9,0,0
闵行区五一村白场浪,1,0,0
闵行区罗秀路1385号,2,0,0
闵行区普杰路100弄,16,0,0
闵行区行南村周家塘,1,0,0
闵行区龙茗路513弄,3,0,0
闵行区纪东村,15,0,0
闵行区梅富路366号,3,0,0
闵行区昌林路430号,13,0,0
嘉定区秋竹路655弄,5,0,0
松江区民乐一村,1,0,0
嘉定区宝安公路2444号,1,0,0
闵行区七莘路2628弄,8,0,0
嘉定区双单路1509弄龙湖郦城,1,0,0
嘉定区沪宜公路2800弄,6,0,0
闵行区知新村,27,0,0
宝山区菊太路999弄,19,0,0
浦东新区博兴路462弄,33,0,0
浦东新区柳埠路142弄,23,0,0
闵行区保乐路666弄,10,0,0
浦东新区花木路500弄,17,0,0
浦东新区牟平路384弄,15,0,0
浦东新区五莲路780弄,32,0,0
浦东新区台儿庄路663弄,21,0,0
闵行区虹梅南路1555弄,18,0,0
闵行区虹梅南路1008号,8,0,0
浦东新区军港公路326弄,1,0,0
虹口区广灵二路商业二村,2,0,0
长宁区荣华东道60弄,1,0,0
普陀区桃浦路2055弄,20,0,0
闵行区浦星公路568弄,19,0,0
虹口区天宝路1088号,2,0,0
虹口区曲阳路440号,5,0,0
杨浦区国定路277弄,18,0,0
虹口区逸仙路288弄,14,0,0
浦东新区金工路133弄,5,0,0
青浦区崧润路德康雅苑,1,0,0
闵行区罗秀路1955弄,13,0,0
嘉定区秋竹路801弄,10,0,0
浦东新区长岛路1201弄,29,0,0
浦东新区龙居路150弄,19,0,0
闵行区东川路800号,42,0,0
浦东新区听悦路685弄,23,0,0
普陀区中山北路1297弄,6,0,0
松江区陈春公路801弄,27,0,0
黄浦区徐家汇路388号,8,0,0
徐汇区田林4村,1,0,0
长宁区淮海西路288弄,4,0,0
徐汇区永嘉路291弄,15,0,0
青浦区城东新村,16,0,0
宝山区塘后路285弄,7,0,0
宝山区共富二村,29,0,0
徐汇区梅陇七村,31,0,0
普陀区三源路41弄,16,0,0
徐汇区长桥三村,25,0,0
青浦区崧润路49弄,6,0,0
闵行区黎安路486号,2,0,0
闵行区莲花路528弄,7,0,0
青浦区华徐公路1199号,1,0,0
嘉定区科盛路1065号,4,0,0
宝山区长江西路53弄,3,0,0
青浦区诸光路1355弄,23,0,0
松江区新飞路1999弄,11,0,0
松江区联阳小区,2,0,0
宝山区聚源桥村严家桥,1,0,0
宝山区沈家桥柏家宅,1,0,0
浦东新区长岛路1280弄,21,0,0
浦东新区云山路1395弄,24,0,0
宝山区淞良路201弄,2,0,0
徐汇区龙州路995-1号,1,0,0
宝山区长江路258号,2,0,0
浦东新区南码头东三街35弄,1,0,0
闵行区春申路1888弄,8,0,0
徐汇区田林四村,5,0,0
闵行区老沪闵路1351弄,30,0,0
嘉定区迎园新村五八坊,1,0,0
闵行区春申路1581弄,23,0,0
闵行区春申路1717弄,14,0,0
闵行区虹梅南路1770弄,22,0,0
浦东新区浦东南路2200号,1,0,0
闵行区沁春路1366弄,25,0,0
闵行区永联村吴介巷,1,0,0
浦东新区巨峰路758弄,5,0,0
静安区武定路1128弄,11,0,0
宝山区丹霞山路257弄,14,0,0
徐汇区宜山路上海精工工地宿舍,1,0,0
宝山区永顺路81弄,15,0,0
静安区陆丰路中宝大厦,1,0,0
静安区塘沽路747弄,9,0,0
虹口区三门路747弄,4,0,0
青浦区徐和路165弄,5,0,0
闵行区银都路3151弄,25,0,0
浦东新区光泽路120弄,7,0,0
徐汇区龙吴路1717弄,21,0,0
闵行区华漕纪东,1,0,0
闵行区江川路1565号,8,0,0
闵行区鲁康路555弄,8,0,0
闵行区龙茗路513弄13支弄,1,0,0
闵行区德宏路2465号,1,0,0
浦东新区瓦屑建设路60弄,1,0,0
浦东新区栖山路1555弄,24,0,0
松江区环城路616弄,1,0,0
松江区沪松公路1100号,1,0,0
嘉定区陇南路嘉涛路停车场,1,0,0
闵行区普乐路425弄,25,0,0
宝山区四元路126号,3,0,0
虹口区四川北路1545弄,21,0,0
长宁区仙霞西路885弄,23,0,0
普陀区灵石路1197号,1,0,0
徐汇区田林十四村,21,0,0
徐汇区宜山路600号,4,0,0
徐汇区田林路90弄,8,0,0
浦东新区长清路103弄,10,0,0
黄浦区车站东路195号,3,0,0
徐汇区老沪闵路1039弄,24,0,0
浦东新区光辉村,15,0,0
闵行区同乐路158号,14,0,0
黄浦区西藏南路1739弄,16,0,0
松江区茸惠路858弄,3,0,0
嘉定区新宝路88弄,1,0,0
嘉定区南新路219弄,2,0,0
嘉定区娄塘路658弄,3,0,0
嘉定区娄塘大北街132号,1,0,0
嘉定区娄塘娄南村,1,0,0
嘉定区娄塘路626弄,3,0,0
闵行区江川路241弄,14,0,0
闵行区江川路303弄,1,0,0
徐汇区罗城路470号,1,0,0
松江区王家厍路55弄,12,0,0
徐汇区华发路368弄,25,0,0
黄浦区淮海东路89弄,22,0,0
金山区学府路1811弄,5,0,0
徐汇区梅陇路130号,11,0,0
浦东新区听谐路86弄,10,0,0
闵行区龙吴路5688弄,14,0,0
闵行区申郑路18弄,3,0,0
闵行区景谷中路58弄,20,0,0
徐汇区天等路430弄,8,0,0
静安区茂名北路93号,8,0,0
奉贤区万顺路2768弄,5,0,0
闵行区晋豪生活广场,1,0,0
宝山区长江路868号,5,0,0
浦东新区创新西路75弄,24,0,0
静安区宜川路733弄,4,0,0
长宁区茅台路353弄,1,0,0
嘉定区鹤霞路555弄,13,0,0
嘉定区曹南路12弄,21,0,0
徐汇区田林路118号,3,0,0
闵行区漕宝路1508弄,24,0,0
金山区南阳湾路1288弄,3,0,0
金山区横浦村,3,0,0
黄浦区顺昌路612弄,17,0,0
黄浦区南昌路282号,4,0,0
宝山区淞发路901弄,7,0,0
闵行区剑川路中铁四局工地宿舍,12,0,0
金山区龙轩路1989弄,2,0,0
浦东新区利津路729弄,18,0,0
浦东新区佳林路115弄,11,0,0
浦东新区拱鸣路95弄,9,0,0
浦东新区听悦路1205弄,7,0,0
浦东新区城南路818号,2,0,0
浦东新区拱鸣路60弄,7,0,0
浦东新区拱为路2600弄,19,0,0
浦东新区听悦路960弄,13,0,0
浦东新区迎薰路215弄,4,0,0
浦东新区拱海路79弄,23,0,0
浦东新区听潮南路77弄,6,0,0
浦东新区扶栏村下塘一组,1,0,0
浦东新区园艺村,10,0,0
浦东新区华夏东路1260弄,9,0,0
浦东新区华夏二路200弄,17,0,0
浦东新区云台路183弄,21,0,0
浦东新区巨峰路667弄,22,0,0
浦东新区通济路616弄,2,0,0
浦东新区勤政路88弄,7,0,0
长宁区协和路193号,1,0,0
浦东新区川沙六团七灶北张家宅,1,0,0
浦东新区芬菊路199号工地宿舍,1,0,0
长宁区北虹路978号,8,0,0
嘉定区星桥村,2,0,0
静安区万荣路959号,5,0,0
静安区西藏北路970弄,9,0,0
静安区延长中路451弄,5,0,0
长宁区芙蓉江路555弄,4,0,0
静安区中山北路805弄,12,0,0
浦东新区五莲路1424弄,20,0,0
徐汇区梅陇六村,4,0,0
静安区广中西路911弄,7,0,0
徐汇区茶陵路75弄,15,0,0
徐汇区东安路230弄,26,0,0
浦东新区红枫路108弄,9,0,0
普陀区千阳南路88弄,3,0,0
徐汇区华济路2弄,29,0,0
奉贤区悦达南郊华都,1,0,0
嘉定区娄陆公路831号,2,0,0
嘉定区娄东村,3,0,0
闵行区都会路258号,24,0,0
嘉定区娄塘大东街63号,1,0,0
嘉定区娄塘路760弄,2,0,0
虹口区武进路577号,7,0,0
闵行区疏影路1280号,1,0,0
闵行区疏影路1315号,5,0,0
闵行区莘朱路879弄,19,0,0
静安区柳营路1025弄,24,0,0
青浦区前云路148弄,14,0,0
闵行区报春路863弄,10,0,0
黄浦区肇周路179号,6,0,0
闵行区同心村,6,0,0
黄浦区徐家汇路1弄,23,0,0
浦东新区博华路999弄,37,0,0
青浦区尚茂路226弄,4,0,0
浦东新区前哨路288弄,13,0,0
浦东新区龙东大道1号,4,0,0
闵行区江川路1565弄,16,0,0
嘉定区宝安公路3705号,6,0,0
嘉定区娄南地园,1,0,0
浦东新区碧云路199弄,6,0,0
宝山区杨泰三村,25,0,0
浦东新区大团中心村,1,0,0
嘉定区南新路317号,2,0,0
嘉定区陆渡村,3,0,0
嘉定区草庵村,4,0,0
嘉定区娄塘路747弄,2,0,0
嘉定区南新路307弄,2,0,0
黄浦区徐家汇路378号,5,0,0
浦东新区观海路999弄,6,0,0
浦东新区交通新村,5,0,0
浦东新区南团公路35弄,12,0,0
浦东新区听悦路1200弄,8,0,0
浦东新区六灶湾村,7,0,0
虹口区广灵四路280弄,8,0,0
浦东新区西三里桥路6号,1,0,0
嘉定区南新路471弄,3,0,0
嘉定区大北街129弄,1,0,0
金山区龙航路1638弄,1,0,0
金山区龙宇路999弄,4,0,0
浦东新区金桥路301弄,22,0,0
浦东新区东波路585弄,26,0,0
浦东新区金葵路945弄,27,0,0
浦东新区东波路58弄,8,0,0
浦东新区长岛路728弄,21,0,0
金山区海丰路85号,1,0,0
浦东新区栖山路1489弄,21,0,0
普陀区石泉路18弄,5,0,0
浦东新区行泰路281弄,13,0,0
浦东新区沪南公路5397号,2,0,0
闵行区放鹤路2号,12,0,0
浦东新区三灶路451弄,12,0,0
浦东新区马樱丹路127弄,5,0,0
浦东新区上游村卢家宅,7,0,0
浦东新区浦东大道140弄,23,0,0
浦东新区凌兆路127弄,20,0,0
松江区古楼公路659弄,6,0,0
虹口区瑞虹路233弄,13,0,0
金山区龙轩路2208弄,4,0,0
金山区海盛路500弄,5,0,0
长宁区天山路202弄,8,0,0
闵行区金都路2239弄,2,0,0
松江区中山二路658号,1,0,0
松江区龙源路555号,7,0,0
闵行区银春路2200弄,24,0,0
杨浦区平凉路2545弄,23,0,0
黄浦区丽园路824弄,1,0,0
普陀区光复西路133弄,4,0,0
黄浦区徐家汇路515弄,26,0,0
松江区玉阳苑,2,0,0
黄浦区西藏南路1129弄,6,0,0
长宁区水城路728弄,5,0,0
徐汇区龙吴路1343弄,36,0,0
徐汇区钦州北路485号,5,0,0
青浦区莫家圩,1,0,0
闵行区朱行路12号,11,0,0
静安区康宁路852号,3,0,0
徐汇区桂林东街99弄,18,0,0
黄浦区局门路241弄,31,0,0
宝山区月浦八村,12,0,0
黄浦区局门后路9号,5,0,0
闵行区共和村,37,0,0
静安区沪太路1170弄,23,0,0
徐汇区大木桥路450弄,14,0,0
静安区广延路1188弄,7,0,0
闵行区高兴路666弄,15,0,0
嘉定区南新路429弄,1,0,0
静安区止园路400弄,21,0,0
杨浦区国伟路100弄,15,0,0
普陀区灵石路1669弄,4,0,0
嘉定区沙霞路95弄,4,0,0
浦东新区秀沿路867弄,20,0,0
浦东新区鹤韵路550弄,9,0,0
浦东新区高科西路2111弄,17,0,0
浦东新区鹏岳路152弄,29,0,0
普陀区真华路36弄,8,0,0
闵行区罗秀路887号,1,0,0
青浦区郏店村,14,0,0
闵行区剑川路818弄,1,0,0
松江区荣乐中路800弄,6,0,0
徐汇区小木桥路440弄,22,0,0
黄浦区中山南一路251号,3,0,0
徐汇区汇成二村,29,0,0
徐汇区罗秀路955弄,11,0,0
普陀区黄陵路200弄,11,0,0
浦东新区创新西路333弄,18,0,0
徐汇区罗城路490号,1,0,0
杨浦区延吉五村,20,0,0
虹口区瑞虹路368弄,5,0,0
黄浦区陆家浜路1398号,8,0,0
闵行区龙吴路5395号,1,0,0
松江区谷水苑,1,0,0
徐汇区龙华路2518弄,31,0,0
闵行区申北路168弄,3,0,0
徐汇区钦州北路158弄,14,0,0
松江区中山西路1号,1,0,0
嘉定区娄塘村,1,0,0
嘉定区小东街,4,0,0
长宁区淞虹路800弄,8,0,0
嘉定区崇教路267号对面工地宿舍,22,0,0
浦东新区鹤沙路588弄,16,0,0
浦东新区西门路588弄,5,0,0
浦东新区古棕路168弄,13,0,0
徐汇区东泉路50弄,11,0,0
黄浦区浙江中路188弄,13,0,0
杨浦区沈阳路41弄,9,0,0
浦东新区兰城路115弄,21,0,0
浦东新区南塘村,3,0,0
浦东新区高宝路68弄,22,0,0
浦东新区新行路433弄,6,0,0
浦东新区妙境路124弄,11,0,0
嘉定区梅园路300弄,8,0,0
嘉定区张掖路355号,18,0,0
嘉定区中大街128号,1,0,0
松江区通波路725弄,2,0,0
松江区新松江路259弄,1,0,0
金山区学府路2208弄,1,0,0
徐汇区中山西路1788弄,12,0,0
嘉定区封周路885弄,7,0,0
闵行区安乐村,27,0,0
徐汇区上中西路151弄,1,0,0
松江区泗宝路458弄,3,0,0
徐汇区中山南二路945弄,18,0,0
徐汇区日晖六村,31,0,0
徐汇区龙水南路385弄,8,0,0
嘉定区汇旺东路1295弄,2,0,0
嘉定区南新路626弄,3,0,0
嘉定区红石路699弄,3,0,0
徐汇区凯滨路19弄,18,0,0
宝山区场北路399弄,5,0,0
黄浦区顺昌路580号,5,0,0
黄浦区顺昌路598号,2,0,0
黄浦区大沽路183弄,22,0,0
嘉定区三里村,8,0,0
闵行区都会路3552号,1,0,0
松江区仓汇路401弄,9,0,0
静安区临汾路894弄,10,0,0
金山区建农村,3,0,0
奉贤区新四平公路467弄,4,0,0
浦东新区兰谷路1888弄,6,0,0
浦东新区赵高路968弄,1,0,0
徐汇区梅陇九村,30,0,0
虹口区新市南路1148弄,11,0,0
黄浦区南塘浜路119号,1,0,0
嘉定区临夏路98弄,15,0,0
黄浦区南苏州路933号,6,0,0
宝山区新沪路475弄,7,0,0
闵行区汇红村,6,0,0
闵行区江川路633弄,2,0,0
嘉定区海川路108号,2,0,0
闵行区石屏路399弄,8,0,0
黄浦区永年路54号,2,0,0
金山区恒顺路216弄,1,0,0
奉贤区港坤路399弄,1,0,0
奉贤区横桥村,1,0,0
浦东新区丽正路1059弄,5,0,0
徐汇区龙州路450弄,13,0,0
闵行区瑞丽路768弄,5,0,0
黄浦区中山南路1358弄,20,0,0
徐汇区龙吴路2888弄,35,0,0
金山区龙航路718号,1,0,0
金山区龙山路518弄,1,0,0
浦东新区洛神花路6号,1,0,0
静安区万荣路1199弄,9,0,0
闵行区普乐二村,1,0,0
闵行区普乐三村,1,0,0
徐汇区长桥四村,35,0,0
浦东新区玉盘北路288弄,10,0,0
浦东新区扶栏村,10,0,0
浦东新区夏碧路80弄,7,0,0
浦东新区张杨路1515弄,15,0,0
浦东新区牌楼村,18,0,0
浦东新区城南路41弄,15,0,0
浦东新区拱乐路2400弄,13,0,0
浦东新区金汇广场,1,0,0
嘉定区北大街108弄,1,0,0
静安区彭江路199号,2,0,0
虹口区三门支路738弄,1,0,0
徐汇区云锦路50弄,27,0,0
普陀区澳门路58弄,4,0,0
静安区昌平路923弄,4,0,0
嘉定区城中路29弄,4,0,0
松江区文诚路2159弄,5,0,0
静安区临汾路300弄,7,0,0
奉贤区五宅村,7,0,0
宝山区呼玛二村,26,0,0
徐汇区罗秀路930弄,25,0,0
闵行区放鹤路2813号,2,0,0
金山区板桥东路1200弄,2,0,0
青浦区青松路129弄,8,0,0
